date,asset,window_days,feature_id,feature_label,beta,correlation,sample_count,n,timing,calendar,calendar_assumption,close_time_assumption
2020-06-30,BTC,180,qqq_ret,QQQ return,1.0142187107501437,0.4481771883595697,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-06-30,BTC,180,spy_ret,SPY return,0.971482847113473,0.4317879993698796,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-06-30,BTC,180,dxy_ret,DXY return,-2.884753515721272,-0.2395538210705115,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-06-30,BTC,180,gold_ret,Gold return,1.6298751127442324,0.3355121734153571,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-06-30,BTC,180,vix_d1,VIX change,-0.0070506113554005,-0.5288934905824522,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-06-30,BTC,180,real_yield_d1,Real-yield change,-0.0656105885181468,-0.079139415971677,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-06-30,BTC,180,nominal_10y_d1,10Y yield change,-0.0061500022176443,-0.0067845439706789,179,179,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,qqq_ret,QQQ return,1.0210005717102315,0.4618265233540796,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,spy_ret,SPY return,0.9823582302263352,0.4451456971040849,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,dxy_ret,DXY return,-2.788608851388956,-0.2371377827984248,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,gold_ret,Gold return,1.5777773146212186,0.3274509294494829,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,vix_d1,VIX change,-0.0070277372838284,-0.5390956298738964,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,real_yield_d1,Real-yield change,-0.0598857371849774,-0.073288990030429,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-14,BTC,180,nominal_10y_d1,10Y yield change,0.0061067237171233,0.0068279136838478,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,qqq_ret,QQQ return,1.021725436678805,0.4625767931524217,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,spy_ret,SPY return,0.9903469702497898,0.4466087092727745,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,dxy_ret,DXY return,-2.745296337456811,-0.236908447203801,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,gold_ret,Gold return,1.649421565805804,0.3468438467027143,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,vix_d1,VIX change,-0.0070616132082256,-0.5391747905788696,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,real_yield_d1,Real-yield change,-0.0574033957110837,-0.069675276729211,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
2020-07-28,BTC,180,nominal_10y_d1,10Y yield change,0.0118172765333262,0.0129807053589112,180,180,contemporaneous,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.
